Carimbo de data/hora,Você já comprou algum imóvel em Vitória ou Vila Velha?,Bairro onde comprou o imóvel:,"Qual sua idade? Ex: """"20""""",1)   Qual(is) local(is) ou método(s) você mais utiliza quando vai pesquisar algum imóvel para comprar?,2)   Você considera esses métodos de pesquisa/atendimento eficientes ou acredita que poderiam ser melhores? (Relacionado ao que foi marcado na pergunta anterior),"3)   Se já foi atendido por alguma imobiliária, qual nota você daria para esse atendimento? ","4)   Se já foi atendido por algum corretor independente, qual nota você daria para esse atendimento? (em média, caso tenha sido atendido por mais de um)","5)   Gostaria de ter a possibilidade de escolher, através de uma apresentação e histórico de avaliações de outros consumidores, o corretor imobiliário que vai te auxiliar na busca por algum imóvel? (Como Ifood e Booking, notas, nível de avaliação, comentários)",6)   Qual sua opinião sobre os valores cobrados na corretagem de imóveis? (Atualmente na média de 5% do valor do imóvel),"7)   Usaria uma plataforma (digital) que te desse a possibilidade de escolher o corretor de imóvel mais alinhado ao seu perfil, te auxiliando do início ao final da operação com qualidade e segurança, sem custo adicional e oferecendo desconto na comissão?",e-mail/telefone para contato
2024/10/12 7:46:10 PM GMT-3,Sim,Jardim da Penha,65,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,3 (razoável),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/12 7:50:22 PM GMT-3,Sim,Jardim da Penha,33,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.",São eficientes e não precisam melhorar.,4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/12 7:55:47 PM GMT-3,Sim,Jardim da Penha,56,d)   Corretor autônomo.,"São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/12 8:00:50 PM GMT-3,Sim,Praia da Costa,61,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/12 8:06:19 PM GMT-3,Sim,Praia do Canto,63,"b)   Imobiliária.;f)   Redes sociais: Instagram, Facebook, ...",São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,Não gostaria.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/12 8:11:24 PM GMT-3,Sim,Barro Vermelho,73,c)   Engenheiro ou construtor.,São eficientes e não precisam melhorar.,4 (bom),3 (razoável),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/16 6:36:23 PM GMT-3,Sim,Jardim Camburi,58,c)   Engenheiro ou construtor.,"São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",c) Considero extremamente elevado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/10/16 6:37:15 PM GMT-3,Sim,Santo Antônio,,"","","","","","","",""
2024/10/16 6:42:39 PM GMT-3,Sim,Praia do Canto,24,"e)   Placas, anúncios, ...",Não são eficientes e não acho que podem melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",d) Não tenho uma opinião.,a) Com certeza.,nome@gamil.com
2024/10/16 6:49:14 PM GMT-3,Sim,Jardim da Penha,43,b)   Imobiliária.,"São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,Talvez.,c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/16 6:54:08 PM GMT-3,Sim,Jardim da Penha,30,b)   Imobiliária.,Não são eficientes e não acho que podem melhorar.,1 (muito ruim),1 (muito ruim),"Sim, gostaria.",d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/10/16 6:59:08 PM GMT-3,Sim,Bento Ferreira,,"","","","","","","",""
2024/10/16 7:03:40 PM GMT-3,Sim,Santa Tereza,,"","","","","","","",""
2024/10/16 7:05:00 PM GMT-3,Sim,Bento Ferreira,,"","","","","","","",""
2024/10/16 7:08:16 PM GMT-3,Sim,Jardim Camburi,29,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,1 (muito ruim),4 (bom),"Sim, gostaria.",d) Não tenho uma opinião.,a) Com certeza.,nome@gamil.com
2024/10/16 7:14:28 PM GMT-3,Sim,Jardim Camburi,33,g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",4 (bom),5 (muito bom),Talvez.,b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/16 7:25:19 PM GMT-3,Sim,Goiabeiras ,,"","","","","","","",""
2024/10/16 7:26:32 PM GMT-3,Sim,São Pedro,,"","","","","","","",""
2024/10/16 7:47:51 PM GMT-3,Sim,Jardim Camburi,24,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/16 7:52:13 PM GMT-3,Sim,Jardim da Penha,22,b)   Imobiliária.,"Não são eficientes, mas podem melhorar.",2 (ruim),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",d) Não tenho uma opinião.,a) Com certeza.,nome@gamil.com
2024/10/23 5:01:38 PM GMT-3,Sim,Praia de Itaparica,59,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/23 5:06:51 PM GMT-3,Sim,Praia de Itaparica,44,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.","São bons, mas podem melhorar.",4 (bom),4 (bom),Talvez.,c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/23 5:11:36 PM GMT-3,Sim,nova Itaparica ,,"","","","","","","",""
2024/10/23 5:16:28 PM GMT-3,Sim,Itapuã,42,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.","São bons, mas podem melhorar.",4 (bom),5 (muito bom),Talvez.,b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/23 5:17:59 PM GMT-3,Sim,Itapuã,42,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",4 (bom),5 (muito bom),Talvez.,a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/10/23 5:22:11 PM GMT-3,Sim,Praia de Itaparica,41,feirão no shopping Vitória ,São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/23 5:24:19 PM GMT-3,Sim,Olaria,,"","","","","","","",""
2024/10/23 5:27:21 PM GMT-3,Não,"",,"","","","","","","",""
2024/10/23 5:28:06 PM GMT-3,Sim,Centro Vitória ,,"","","","","","","",""
2024/10/23 5:33:06 PM GMT-3,Sim,Praia de Itaparica,35,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.;f)   Redes sociais: Instagram, Facebook, ...","Não são eficientes, mas podem melhorar.",5 (muito bom),3 (razoável),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/23 5:35:34 PM GMT-3,Sim,Praia de Itaparica,35,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",3 (razoável),3 (razoável),Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/23 5:44:22 PM GMT-3,Sim,Itapuã,43,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/23 5:49:20 PM GMT-3,Sim,Praia de Itaparica,59,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
